agent_code,month,quarter,year,cluster,agent_age,new_policy_count,agent_seniority,time_to_first_sale_months,ANBP_value_boxcox_added,net_income_boxcox_added,number_of_policy_holders_boxcox_added,number_of_cash_payment_policies_boxcox_added,pca_proposal_1,pca_proposal_2,pca_quotations_1,pca_quotations_2,pca_customers_1,pca_customers_2
256,0,0,0,3,45,0,23,31,0.0,183.18624506800003,8.831988161101583,24.591234221320324,0.2564502561432565,0.8420638079568226,0.3050046365441114,0.6836646927507484,0.4886817271269076,0.43175929000863816
711,0,0,0,1,48,25,9,22,399.9856251558649,226.68026943936061,0.0,25.65568761136496,0.6040850515675396,0.5930879403434481,0.5359321677744112,0.828367199983887,0.5666023572235271,0.3481962798115892
343,0,0,0,2,53,26,32,40,462.296834544746,323.33756390093606,15.698441675161087,16.361428075210476,0.4052210104909011,0.8307218594166177,0.5182076997756613,0.5513206715966393,0.7018944541911162,0.5299208291020308
699,0,0,0,0,44,18,42,32,247.34315002557707,142.4577167796951,10.264188813456036,23.046459277044416,0.5219334639819468,0.21291461084779373,0.38834781187639655,0.7016395189087061,0.44152888104151544,0.2750799732713707
630,0,0,0,2,20,20,28,29,497.00192351860437,358.33775248320677,6.747544753456044,11.134221585081049,0.49308800675792697,0.6474839057960912,0.45148778157467045,0.36791348380097183,0.5897998331547434,0.8175234186499885
657,0,0,0,2,32,28,39,34,521.6132005922228,363.97649046636747,12.065022699455492,25.087475277463408,0.7307037578228784,0.41637863528079166,0.45781156617887503,0.6787759297533853,0.4347164671844639,0.20267447810455524
622,0,0,0,1,41,17,10,10,448.37314752326415,244.9235501042133,0.0,20.736186883452344,0.29092188142652414,0.7380851770338714,0.5542922456817636,0.8502154121026417,0.7562200076359571,0.46236266973384565
128,0,0,0,0,59,16,30,36,264.99650876032416,171.54988429884145,11.935229548988502,14.619494071415362,0.18965909184621516,0.29970427499124386,0.6261953696236962,0.831516311771203,0.5768582852272697,0.26811550416681706
0,0,0,0,3,35,0,29,28,0.0,292.93165452286365,2.8532271699619582,0.0,0.13892675721561754,0.5399368937649671,0.0,0.5717095842533585,0.11622153294093401,0.46452102372593584
765,0,0,0,1,41,17,34,38,348.88247767141,202.28785042320945,11.537934335225314,23.829858325642217,0.4191158816820194,0.6629286881066131,0.45453637393954033,0.2503453381327381,0.3461796155817046,0.6629612352186445
471,0,0,0,0,28,15,33,40,243.9145780399617,115.87102138675384,5.844601982695124,16.001712609522674,0.340005140194016,0.38991514258643695,0.30025830159764216,0.3853042116594546,0.43743939432636036,0.6434741498375037
400,0,0,0,1,60,20,13,25,422.97453431651536,281.3922321813672,8.126558498997658,7.336148292421854,0.44796133890603934,0.22835939315831566,0.23731649141080102,0.36602290560184514,0.36973738501531805,0.8356454027847757
34,0,0,0,1,35,18,35,23,414.2081061532667,217.3896184974843,7.561313754855983,6.87183848741967,0.3040679628133155,0.4882868056693078,0.6283693509955751,0.8174680133668929,0.7934772192200039,0.40247979084361735
27,0,0,0,1,39,24,38,28,393.66667226346345,277.80996587002886,12.065022699455492,26.991392818770997,0.6263108815227945,0.7648398964042131,0.700787791922246,0.14014393486855353,0.40391137595507126,0.631605823433867
646,0,0,0,3,48,0,1,14,0.0,388.0529903152924,8.485548822780414,28.782952173554715,0.5981199309596145,0.28508199643191123,0.1400941848500578,0.606347561188234,0.1941048558193884,0.5696470319238821
185,0,0,0,1,20,29,36,45,346.98119137563964,212.64860809391072,0.0,31.89883085401417,0.6043851469204657,0.6017320122164989,0.34025335985033306,0.5582933304599857,0.5122768037786862,0.4157544391797743
292,0,0,0,1,38,34,14,22,330.7150536640809,179.5966777314385,0.0,19.027947837027707,0.7545437389740409,0.6584546154900944,0.5733936608456219,0.16116158922812568,0.48799844734027825,0.8363562141581788
